"","POW_LGA_CODE_2021","LGAName","AgeBracket","NumPeople","Sex","EmploymentType"
"1","20110","Alpine","15 to 19",26,"M","Working Full Time"
"2","20110","Alpine","15 to 19",113,"M","Working Part Time"
"3","20110","Alpine","15 to 19",34,"M","Away From Work"
"4","20110","Alpine","15 to 19",0,"M","Hours Worked Not Stated"
"5","20110","Alpine","20 to 24",83,"M","Working Full Time"
"6","20110","Alpine","20 to 24",70,"M","Working Part Time"
"7","20110","Alpine","20 to 24",8,"M","Away From Work"
"8","20110","Alpine","20 to 24",8,"M","Hours Worked Not Stated"
"9","20110","Alpine","25 to 29",118,"M","Working Full Time"
"10","20110","Alpine","25 to 29",78,"M","Working Part Time"
"11","20110","Alpine","25 to 29",14,"M","Away From Work"
"12","20110","Alpine","25 to 29",8,"M","Hours Worked Not Stated"
"13","20110","Alpine","30 to 34",145,"M","Working Full Time"
"14","20110","Alpine","30 to 34",40,"M","Working Part Time"
"15","20110","Alpine","30 to 34",7,"M","Away From Work"
"16","20110","Alpine","30 to 34",7,"M","Hours Worked Not Stated"
"17","20110","Alpine","35 to 39",158,"M","Working Full Time"
"18","20110","Alpine","35 to 39",39,"M","Working Part Time"
"19","20110","Alpine","35 to 39",9,"M","Away From Work"
"20","20110","Alpine","35 to 39",7,"M","Hours Worked Not Stated"
"21","20110","Alpine","40 to 44",149,"M","Working Full Time"
"22","20110","Alpine","40 to 44",48,"M","Working Part Time"
"23","20110","Alpine","40 to 44",8,"M","Away From Work"
"24","20110","Alpine","40 to 44",0,"M","Hours Worked Not Stated"
"25","20110","Alpine","45 to 49",208,"M","Working Full Time"
"26","20110","Alpine","45 to 49",55,"M","Working Part Time"
"27","20110","Alpine","45 to 49",9,"M","Away From Work"
"28","20110","Alpine","45 to 49",4,"M","Hours Worked Not Stated"
"29","20110","Alpine","50 to 54",208,"M","Working Full Time"
"30","20110","Alpine","50 to 54",52,"M","Working Part Time"
"31","20110","Alpine","50 to 54",12,"M","Away From Work"
"32","20110","Alpine","50 to 54",7,"M","Hours Worked Not Stated"
"33","20110","Alpine","55 to 59",206,"M","Working Full Time"
"34","20110","Alpine","55 to 59",64,"M","Working Part Time"
"35","20110","Alpine","55 to 59",15,"M","Away From Work"
"36","20110","Alpine","55 to 59",9,"M","Hours Worked Not Stated"
"37","20110","Alpine","60 to 64",176,"M","Working Full Time"
"38","20110","Alpine","60 to 64",75,"M","Working Part Time"
"39","20110","Alpine","60 to 64",25,"M","Away From Work"
"40","20110","Alpine","60 to 64",0,"M","Hours Worked Not Stated"
"41","20110","Alpine","65 to 69",85,"M","Working Full Time"
"42","20110","Alpine","65 to 69",68,"M","Working Part Time"
"43","20110","Alpine","65 to 69",15,"M","Away From Work"
"44","20110","Alpine","65 to 69",0,"M","Hours Worked Not Stated"
"45","20110","Alpine","70 to 74",30,"M","Working Full Time"
"46","20110","Alpine","70 to 74",40,"M","Working Part Time"
"47","20110","Alpine","70 to 74",0,"M","Away From Work"
"48","20110","Alpine","70 to 74",7,"M","Hours Worked Not Stated"
"49","20110","Alpine","75 or over",23,"M","Working Full Time"
"50","20110","Alpine","75 or over",29,"M","Working Part Time"
"51","20110","Alpine","75 or over",0,"M","Away From Work"
"52","20110","Alpine","75 or over",4,"M","Hours Worked Not Stated"
"53","20110","Alpine","15 to 19",9,"F","Working Full Time"
"54","20110","Alpine","15 to 19",125,"F","Working Part Time"
"55","20110","Alpine","15 to 19",33,"F","Away From Work"
"56","20110","Alpine","15 to 19",7,"F","Hours Worked Not Stated"
"57","20110","Alpine","20 to 24",52,"F","Working Full Time"
"58","20110","Alpine","20 to 24",86,"F","Working Part Time"
"59","20110","Alpine","20 to 24",18,"F","Away From Work"
"60","20110","Alpine","20 to 24",6,"F","Hours Worked Not Stated"
"61","20110","Alpine","25 to 29",68,"F","Working Full Time"
"62","20110","Alpine","25 to 29",80,"F","Working Part Time"
"63","20110","Alpine","25 to 29",15,"F","Away From Work"
"64","20110","Alpine","25 to 29",3,"F","Hours Worked Not Stated"
"65","20110","Alpine","30 to 34",79,"F","Working Full Time"
"66","20110","Alpine","30 to 34",106,"F","Working Part Time"
"67","20110","Alpine","30 to 34",19,"F","Away From Work"
"68","20110","Alpine","30 to 34",3,"F","Hours Worked Not Stated"
"69","20110","Alpine","35 to 39",61,"F","Working Full Time"
"70","20110","Alpine","35 to 39",150,"F","Working Part Time"
"71","20110","Alpine","35 to 39",19,"F","Away From Work"
"72","20110","Alpine","35 to 39",0,"F","Hours Worked Not Stated"
"73","20110","Alpine","40 to 44",103,"F","Working Full Time"
"74","20110","Alpine","40 to 44",134,"F","Working Part Time"
"75","20110","Alpine","40 to 44",9,"F","Away From Work"
"76","20110","Alpine","40 to 44",5,"F","Hours Worked Not Stated"
"77","20110","Alpine","45 to 49",142,"F","Working Full Time"
"78","20110","Alpine","45 to 49",147,"F","Working Part Time"
"79","20110","Alpine","45 to 49",10,"F","Away From Work"
"80","20110","Alpine","45 to 49",4,"F","Hours Worked Not Stated"
"81","20110","Alpine","50 to 54",134,"F","Working Full Time"
"82","20110","Alpine","50 to 54",138,"F","Working Part Time"
