"","POW_LGA_CODE_2021","LGAName","Occupation","NumPeople","Sex"
"1","20110","Alpine","Managers",612,"M"
"2","20110","Alpine","Professionals",307,"M"
"3","20110","Alpine","Technicians and Trades Workers",555,"M"
"4","20110","Alpine","Community and Personal Service Workers",187,"M"
"5","20110","Alpine","Clerical and Administrative Workers",67,"M"
"6","20110","Alpine","Sales Workers",184,"M"
"7","20110","Alpine","Machinery Operators and Drivers",243,"M"
"8","20110","Alpine","Labourers",401,"M"
"9","20110","Alpine","Managers",416,"F"
"10","20110","Alpine","Professionals",520,"F"
"11","20110","Alpine","Technicians and Trades Workers",174,"F"
"12","20110","Alpine","Community and Personal Service Workers",461,"F"
"13","20110","Alpine","Clerical and Administrative Workers",395,"F"
"14","20110","Alpine","Sales Workers",316,"F"
"15","20110","Alpine","Machinery Operators and Drivers",46,"F"
"16","20110","Alpine","Labourers",288,"F"
"17","20260","Ararat","Managers",635,"M"
"18","20260","Ararat","Professionals",247,"M"
"19","20260","Ararat","Technicians and Trades Workers",377,"M"
"20","20260","Ararat","Community and Personal Service Workers",391,"M"
"21","20260","Ararat","Clerical and Administrative Workers",81,"M"
"22","20260","Ararat","Sales Workers",143,"M"
"23","20260","Ararat","Machinery Operators and Drivers",253,"M"
"24","20260","Ararat","Labourers",502,"M"
"25","20260","Ararat","Managers",335,"F"
"26","20260","Ararat","Professionals",511,"F"
"27","20260","Ararat","Technicians and Trades Workers",106,"F"
"28","20260","Ararat","Community and Personal Service Workers",563,"F"
"29","20260","Ararat","Clerical and Administrative Workers",377,"F"
"30","20260","Ararat","Sales Workers",234,"F"
"31","20260","Ararat","Machinery Operators and Drivers",27,"F"
"32","20260","Ararat","Labourers",320,"F"
"33","20570","Ballarat","Managers",3470,"M"
"34","20570","Ballarat","Professionals",4428,"M"
"35","20570","Ballarat","Technicians and Trades Workers",5911,"M"
"36","20570","Ballarat","Community and Personal Service Workers",1954,"M"
"37","20570","Ballarat","Clerical and Administrative Workers",1488,"M"
"38","20570","Ballarat","Sales Workers",2031,"M"
"39","20570","Ballarat","Machinery Operators and Drivers",2674,"M"
"40","20570","Ballarat","Labourers",3316,"M"
"41","20570","Ballarat","Managers",2238,"F"
"42","20570","Ballarat","Professionals",7633,"F"
"43","20570","Ballarat","Technicians and Trades Workers",1289,"F"
"44","20570","Ballarat","Community and Personal Service Workers",5581,"F"
"45","20570","Ballarat","Clerical and Administrative Workers",5509,"F"
"46","20570","Ballarat","Sales Workers",3417,"F"
"47","20570","Ballarat","Machinery Operators and Drivers",287,"F"
"48","20570","Ballarat","Labourers",1964,"F"
"49","20660","Banyule","Managers",2806,"M"
"50","20660","Banyule","Professionals",5065,"M"
"51","20660","Banyule","Technicians and Trades Workers",4507,"M"
"52","20660","Banyule","Community and Personal Service Workers",1869,"M"
"53","20660","Banyule","Clerical and Administrative Workers",1078,"M"
"54","20660","Banyule","Sales Workers",1324,"M"
"55","20660","Banyule","Machinery Operators and Drivers",1181,"M"
"56","20660","Banyule","Labourers",1860,"M"
"57","20660","Banyule","Managers",1932,"F"
"58","20660","Banyule","Professionals",10810,"F"
"59","20660","Banyule","Technicians and Trades Workers",1271,"F"
"60","20660","Banyule","Community and Personal Service Workers",4634,"F"
"61","20660","Banyule","Clerical and Administrative Workers",4496,"F"
"62","20660","Banyule","Sales Workers",2275,"F"
"63","20660","Banyule","Machinery Operators and Drivers",241,"F"
"64","20660","Banyule","Labourers",1093,"F"
"65","20740","Bass Coast","Managers",1072,"M"
"66","20740","Bass Coast","Professionals",832,"M"
"67","20740","Bass Coast","Technicians and Trades Workers",1478,"M"
"68","20740","Bass Coast","Community and Personal Service Workers",443,"M"
"69","20740","Bass Coast","Clerical and Administrative Workers",181,"M"
"70","20740","Bass Coast","Sales Workers",536,"M"
