"","POW_LGA_CODE_2021","LGAName","EmployedUnemployed","NumPeople","Sex"
"1","20110","Alpine","Employed",2607,"M"
"2","20110","Alpine","Employed",2656,"F"
"3","20110","Alpine","Unemployed",3955,"M"
"4","20110","Alpine","Unemployed",4015,"F"
"5","20260","Ararat","Employed",2693,"M"
"6","20260","Ararat","Employed",2519,"F"
"7","20260","Ararat","Unemployed",3580,"M"
"8","20260","Ararat","Unemployed",3087,"F"
"9","20570","Ballarat","Employed",25746,"M"
"10","20570","Ballarat","Employed",28236,"F"
"11","20570","Ballarat","Unemployed",28994,"M"
"12","20570","Ballarat","Unemployed",30789,"F"
"13","20660","Banyule","Employed",20089,"M"
"14","20660","Banyule","Employed",27085,"F"
"15","20660","Banyule","Unemployed",41316,"M"
"16","20660","Banyule","Unemployed",37750,"F"
"17","20740","Bass Coast","Employed",5896,"M"
"18","20740","Bass Coast","Employed",6729,"F"
"19","20740","Bass Coast","Unemployed",13938,"M"
"20","20740","Bass Coast","Unemployed",14226,"F"
"21","20830","Baw Baw","Employed",9059,"M"
"22","20830","Baw Baw","Employed",10486,"F"
"23","20830","Baw Baw","Unemployed",18976,"M"
"24","20830","Baw Baw","Unemployed",19104,"F"
"25","20910","Bayside (Vic.)","Employed",15013,"M"
"26","20910","Bayside (Vic.)","Employed",17871,"F"
"27","20910","Bayside (Vic.)","Unemployed",33365,"M"
"28","20910","Bayside (Vic.)","Unemployed",35059,"F"
"29","21010","Benalla","Employed",3176,"M"
"30","21010","Benalla","Employed",2822,"F"
"31","21010","Benalla","Unemployed",3876,"M"
"32","21010","Benalla","Unemployed",4650,"F"
"33","21110","Boroondara","Employed",35899,"M"
"34","21110","Boroondara","Employed",42318,"F"
"35","21110","Boroondara","Unemployed",44618,"M"
"36","21110","Boroondara","Unemployed",45068,"F"
"37","21180","Brimbank","Employed",44975,"M"
"38","21180","Brimbank","Employed",33123,"F"
"39","21180","Brimbank","Unemployed",52516,"M"
"40","21180","Brimbank","Unemployed",64001,"F"
"41","21270","Buloke","Employed",1432,"M"
"42","21270","Buloke","Employed",1153,"F"
"43","21270","Buloke","Unemployed",1754,"M"
"44","21270","Buloke","Unemployed",1838,"F"
"45","21370","Campaspe","Employed",8098,"M"
"46","21370","Campaspe","Employed",8268,"F"
"47","21370","Campaspe","Unemployed",11007,"M"
"48","21370","Campaspe","Unemployed",11359,"F"
"49","21450","Cardinia","Employed",15729,"M"
"50","21450","Cardinia","Employed",15752,"F"
"51","21450","Cardinia","Unemployed",42540,"M"
"52","21450","Cardinia","Unemployed",44173,"F"
"53","21610","Casey","Employed",38718,"M"
"54","21610","Casey","Employed",43535,"F"
"55","21610","Casey","Unemployed",143323,"M"
"56","21610","Casey","Unemployed",139660,"F"
"57","21670","Central Goldfields","Employed",2058,"M"
"58","21670","Central Goldfields","Employed",2378,"F"
"59","21670","Central Goldfields","Unemployed",4592,"M"
"60","21670","Central Goldfields","Unemployed",4458,"F"
"61","21750","Colac Otway","Employed",5480,"M"
"62","21750","Colac Otway","Employed",5022,"F"
"63","21750","Colac Otway","Unemployed",5744,"M"
"64","21750","Colac Otway","Unemployed",6178,"F"
"65","21830","Corangamite","Employed",4010,"M"
"66","21830","Corangamite","Employed",3340,"F"
"67","21830","Corangamite","Unemployed",4102,"M"
"68","21830","Corangamite","Unemployed",4663,"F"
"69","21890","Darebin","Employed",26082,"M"
"70","21890","Darebin","Employed",27883,"F"
"71","21890","Darebin","Unemployed",46080,"M"
"72","21890","Darebin","Unemployed",48527,"F"
"73","22110","East Gippsland","Employed",8572,"M"
"74","22110","East Gippsland","Employed",9185,"F"
"75","22110","East Gippsland","Unemployed",15376,"M"
"76","22110","East Gippsland","Unemployed",15584,"F"
"77","22170","Frankston","Employed",23800,"M"
"78","22170","Frankston","Employed",28247,"F"
"79","22170","Frankston","Unemployed",44238,"M"
"80","22170","Frankston","Unemployed",42993,"F"
"81","22250","Gannawarra","Employed",2049,"M"
"82","22250","Gannawarra","Employed",1835,"F"
"83","22250","Gannawarra","Unemployed",3265,"M"
"84","22250","Gannawarra","Unemployed",3533,"F"
"85","22310","Glen Eira","Employed",18173,"M"
"86","22310","Glen Eira","Employed",22909,"F"
"87","22310","Glen Eira","Unemployed",54050,"M"
"88","22310","Glen Eira","Unemployed",53781,"F"
"89","22410","Glenelg","Employed",4304,"M"
"90","22410","Glenelg","Employed",3887,"F"
"91","22410","Glenelg","Unemployed",5748,"M"
"92","22410","Glenelg","Unemployed",6217,"F"
"93","22490","Golden Plains","Employed",2336,"M"
"94","22490","Golden Plains","Employed",2155,"F"
"95","22490","Golden Plains","Unemployed",10440,"M"
"96","22490","Golden Plains","Unemployed",10055,"F"
"97","22620","Greater Bendigo","Employed",24989,"M"
"98","22620","Greater Bendigo","Employed",27091,"F"
"99","22620","Greater Bendigo","Unemployed",33895,"M"
"100","22620","Greater Bendigo","Unemployed",35495,"F"
"101","22670","Greater Dandenong","Employed",69890,"M"
"102","22670","Greater Dandenong","Employed",43283,"F"
"103","22670","Greater Dandenong","Unemployed",10403,"M"
"104","22670","Greater Dandenong","Unemployed",34629,"F"
"105","22750","Greater Geelong","Employed",56197,"M"
"106","22750","Greater Geelong","Employed",61711,"F"
